created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Mar 29 12:13:21 +0000 2024;1773684872332120279;"𝗦𝗘𝗟𝗔𝗠𝗔𝗧 𝗗𝗔𝗧𝗔𝗡𝗚 𝗖𝗔𝗟𝗢𝗡 𝗠𝗔𝗛𝗔𝗦𝗜𝗦𝗪𝗔 𝗞𝗜𝗣 𝗞𝗨𝗟𝗜𝗔𝗛 𝗨𝗡𝗬 𝗝𝗔𝗟𝗨𝗥 𝗦𝗡𝗕𝗣 𝟮𝟬𝟮𝟰  Simak persyaratan untuk masuk grup WhatsApp  #SNBP2024 #kabinetinklusifbermakna #FOMUNY2024 https://t.co/ZSxb5bD7nx";0;0;0;1;in;4087795639;1773684872332120279;fomuny_;https://twitter.com/fomuny_/status/1773684872332120279
Fri Mar 29 12:06:35 +0000 2024;1773683166743507314;"WELCOME TPB FSRD ITB 2024!! #snbp2024 #snbp #fsrd #itb https://t.co/7RmfhM6r2C";0;0;0;0;in;1594301197858484225;1773683166743507314;yuzhongsheesh;https://twitter.com/yuzhongsheesh/status/1773683166743507314
Fri Mar 29 10:12:25 +0000 2024;1773654435601735839;"guys aku bingung bangetttt aku lulus snbp, tapi ortu ku ga punya uang buat ongkos pesawat, biaya bulanan, kost, dll. tiap hari aku nangis mikirin ini semua, masa depanku kayak gimana. ada yang punya saran gak?😭😭😭 #snbp2024 #ptn #lulusptn";0;0;0;0;in;1740555531193106432;1773654435601735839;icecream_wasabi;https://twitter.com/icecream_wasabi/status/1773654435601735839
Fri Mar 29 09:57:45 +0000 2024;1773650747227283482;"Drop skor utbk yang lolos akutansi upn veteran Yogyakarta donggg Butuh banget buat adekk #snbt #snbt2024 #utbk #maba #snbp2024";0;0;0;0;in;1343741550040207361;1773650747227283482;cansamoy;https://twitter.com/cansamoy/status/1773650747227283482
Fri Mar 29 09:41:23 +0000 2024;1773646629658095883;"Temen-temen maaf banget, kalau ada waktu boleh tolong bantu kuesioner aku buat tugas kuliah kah? Ketentuannya cuma kelahiran 97-12 aja kok. Boleh kok barter, drop linknya aja hihii  #kuesioner  #snbp2024";0;3;0;0;in;1014579488573669376;1773646629658095883;0410archives;https://twitter.com/0410archives/status/1773646629658095883
Fri Mar 29 09:29:31 +0000 2024;1773643641510125662;"hai, yang lolos snbp kemarin jurusan teknologi pangan IPB boleh tau ga ya rata rata nya berapa? makasi &lt 3 #snbp2024";0;0;0;0;in;4890443427;1773643641510125662;ilustracsi;https://twitter.com/ilustracsi/status/1773643641510125662
Fri Mar 29 08:44:02 +0000 2024;1773632195279593719;"🗣 WEBINAR NASIONAL 2024 GRATIS  📚 Tema: Intelektual Muda Berkarya : Asah Kreativitasmu dengan Desain Canva   🗓 Sabtu, 30 Maret 2024 ⏰ 09-00 - SelesaI   Terbuka untuk umum!  Link Pendaftaran: https://t.co/oWUDkw3Oo6  #vina #okin #sengketa #snbp2024 #snbt2024 #KISSOFLIFE #cat2 https://t.co/lh11xypHfW";0;0;0;0;in;1151122744601223169;1773632195279593719;Fangsline;https://twitter.com/Fangsline/status/1773632195279593719
Fri Mar 29 07:29:35 +0000 2024;1773613457738174575;"late to the party.. tapi ini portofolio ku yang ketolak dkv isi ygy hehe   emang banyak banget minusnya sih... #portofoliosnbp2024 #snbp2024 https://t.co/uY887ZtIlc";0;3;2;6;in;1584053700053516288;1773613457738174575;moonsayangpara;https://twitter.com/moonsayangpara/status/1773613457738174575
Fri Mar 29 06:36:56 +0000 2024;1773600210565951662;"Selamat kepada peserta didik SMA Doa Bangsa binaan FKDB dan YPPDB yang telah diterima di Perguruan Tinggi Negeri jalur Seleksi Nasional Berdasarkan Prestasi (SNBP) Tahun 2024.   #selamatdansukses #snbp #snbp2024 #sma #smk #akademik #fkdb #mahasiswa https://t.co/qjBVA6siNv";0;1;0;1;in;1275925808268242945;1773600210565951662;FKDB_2005;https://twitter.com/FKDB_2005/status/1773600210565951662
Fri Mar 29 05:35:03 +0000 2024;1773584637928886591;"Open joki Ujian Mandiri PTN  Slot terbatas Booking sekarang, Hub : https://t.co/McosQLaC7S https://t.co/KLPu1J7myJ  #jokitugas #PTN #snbp2024 #snbt2024 #Jokiskripsi #utbk #jokitoefl #thepassion";0;0;2;2;in;1550685006074626049;1773584637928886591;JokiIN_PTN;https://twitter.com/JokiIN_PTN/status/1773584637928886591
